ID,name,portrait,contexts,eventNum,skipNum
1,경비원,1,아# 잠시만요. 오늘은 일반 출입이 제한되어 있습니다. 혹시 어떻게 오셨죠?,1,
2,경비원,1,아하... 오셨군요. 기다리고 있었습니다.,,
3,경비원,1,들으셨겠지만# 요 며칠 도서관 안에서 계속 이상한 소리가 났습니다. 의자 끄는 소리# 책장 밀리는 소리# 낮게 중얼거리는 소리 같은 것들이요.,,
4,경비원,1,사실 도서관에서 나는 소리라고 하기에 이상할 건 없죠. 도서관은 원래 조용한 곳이니# 작은 소리도 크게 들리기도 하고요.,,
5,경비원,1,그래서 처음엔 착각이라고 생각했습니다.,,
6,경비원,1,그런데 얼마 전# 2층 서가에서 책장을 정리하고 계시던 사서분이 계단을 거의 쓰러지다시피 뛰어내려 오셨습니다.,,
7,경비원,1,조각상이… 움직였다고 하더군요.,,
8,경비원,1,사서분 말로는 그렇다니까 신고하긴 했지만... 사실 그거까진 믿기 좀 어렵잖아요? 무슨 괴담 책 속 이야기도 아니고.,,
9,경비원,1,하지만 말씀드렸듯# 저도 들은 게 있으니... 이참에 조각상에 무슨 일이 있는 건지 확실하게 하고 싶은 마음입니다.,,
10,경비원,1,하여튼 빠짐없이 확인 좀 부탁드리겠습니다. 전문가시라고 하니.,,
11,당신,1,(내가 전문가라고...),,
12,경비원,1,그러면 문을 열어드리겠습니다. 여기 조각상은 총 5개입니다. 조사가 끝나면 제게 다시 말씀해 주세요.,,
13,경비원,1,문제가 있을지는 모르겠지만.... 하여튼요.,,
14,경비원,1,아# 그리고… 안에서 무슨 소리가 나도 바로 뛰지는 마십시오. 도서관이라 울림이 심하니까요.,,
15,경비원,1,그럼 부탁드립니다.,,
