ID,name,portrait,sentences,eventNum,skipNum
1,,,여자의 얼굴이 분노로 일그러져 있다. 그녀의 뒤편에는 무너진 집과 꺼져가는 불빛이 비친다.,,2
2,,,모든 것을 배신한 사랑은 결국 영원하기 힘든가 보다.,,
3,,,어둠 속에서 다급하게 뒤를 돌아보는 남자. 그의 뒤편에는 여자의 형상이 가라앉고 있다.,,4
4,,,왜 뒤를 돌아봤을까. 끝까지 믿었다면 뭔가 달라졌을까.,,5
5,,,안타깝게도 후회는 언제가 되든 늦다.,,
6,,,더 이상 노래하지 않는 오르페우스.@남은 것은 얼굴# 악기# 그리고 누군가가 그것을 바라보는 시선뿐이다.,,7
7,,,상실에 너무 오래 잠겨 있으면 비극은 스스로를 향하게 되는 법일까.,,
8,,,도망치던 여인의 손끝에서 잎이 돋아나고 있다. 발은 이미 뿌리가 되어 땅에 묶여 있다.,,9
9,,,이건 아폴론보다는 다프네 쪽에 더 큰 비극이지 않을까. 불쌍해라.,,
10,,,유명한 신화 속 인물들 사이# 이름 모를 소녀의 그림이 걸려 있다.,,11
11,,,소녀는 아무것도 들고 있지 않고# 아무도 바라보지 않는다.,,12
12,,,쓸쓸해 보인다. 이 사람도 무언가를 잃은 걸까.,,13
13,,,...처음부터 아무것도 가진 적 없는 사람처럼 보이기도 한다.,,
14,,,<상실>@신화 속 인물들은 상실을 견디지 못해 노래하고# 저주하고# 뒤돌아보고# 기도했습니다.,,15
15,,,잃어버린 것은 사라진 뒤에도 우리 곁에 남습니다.@상실은 언젠가 다시 우리에게 새로운 의미로 다가올 것입니다.,,16
16,,,그러나 때로는 잃은 것을 되찾으려는 시도가# 남아 있는 것마저 부수어버리기도 합니다.,,
17,,,굳게 잠겨 있는 문이다.,,18
18,,,‘직원 외 출입 금지’라고 새겨진 글씨가 거의 보이지 않을 듯 바래 있다.,,19
19,,,손잡이는 차갑고# 오래 사용하지 않은 것처럼 뻑뻑하다.,,20
20,,,이 문...,,21
21,,,전에 분명 들어가본 적이 있는 것 같은데.,,22
22,,,문틈에서 오래된 석고 냄새가 난다.,,23
